trade_date,symbol,name,target_weight,risk_state,target_exposure
20260624,000429.SZ,粤高速A,0.05,NORMAL,1.0
20260624,000791.SZ,甘肃能源,0.05,NORMAL,1.0
20260624,002039.SZ,黔源电力,0.05,NORMAL,1.0
20260624,600012.SH,皖通高速,0.05,NORMAL,1.0
20260624,603132.SH,金徽股份,0.05,NORMAL,1.0
20260624,688111.SH,金山办公,0.05,NORMAL,1.0
20260624,600236.SH,桂冠电力,0.05,NORMAL,1.0
20260624,603568.SH,伟明环保,0.05,NORMAL,1.0
20260624,000893.SZ,亚钾国际,0.05,NORMAL,1.0
20260624,002545.SZ,东方铁塔,0.05,NORMAL,1.0
20260624,603508.SH,思维列控,0.05,NORMAL,1.0
20260624,002558.SZ,巨人网络,0.05,NORMAL,1.0
20260624,600900.SH,长江电力,0.05,NORMAL,1.0
20260624,300529.SZ,健帆生物,0.05,NORMAL,1.0
20260624,688150.SH,莱特光电,0.05,NORMAL,1.0
20260624,600276.SH,恒瑞医药,0.05,NORMAL,1.0
20260624,000603.SZ,盛达资源,0.05,NORMAL,1.0
20260624,603156.SH,养元饮品,0.05,NORMAL,1.0
20260624,605580.SH,恒盛能源,0.05,NORMAL,1.0
20260624,003025.SZ,思进智能,0.05,NORMAL,1.0
